rank,symbol,market_type,last_close,atr_5,atr_5_pct,atr_10,atr_10_pct,atr_20,atr_20_pct,atr_40,atr_40_pct,vi_days_in_window,atr_5_20_ratio,atr_10_40_ratio,atr_contraction_score,vol_percentile,vol_percentile_score,poc_price,poc_distance_pct,poc_distance_score,high_52w,breakout_proximity_pct,breakout_prox_score,rs_3m,rs_6m,rs_score,price_score,shares_out,med_value_20d,avg_value_20d,adv_shares_20d,turnover_20d,liquidity_score,days_with_data,foreign_net_20d,foreign_net_5d,pension_net_20d,pension_net_5d,fininvest_net_20d,fininvest_net_5d,invtrust_net_20d,invtrust_net_5d,privequity_net_20d,insurance_net_20d,bank_net_20d,inst_total_net_20d,flow_foreign_norm,flow_pension_norm,flow_fininvest_norm,flow_invtrust_norm,flow_inst_weighted_norm,flow_foreign_score,flow_pension_score,flow_fininvest_score,flow_invtrust_score,flow_privequity_score,flow_ignition_5d,flows_score,foreign_flow_ratio_5d,credit_level,credit_delta_5d,credit_delta_20d,credit_zscore,leverage_score,composite_score,name,flow_spike_flag,score_detail_price_atr_contraction,score_detail_price_vol_percentile,score_detail_price_breakout_prox,score_detail_price_poc_distance,score_detail_price_rs,score_detail_flows_foreign,score_detail_flows_pension,score_detail_flows_fininvest,score_detail_flows_invtrust,score_detail_leverage,score_detail_liquidity
11,271560,KOSPI,143200.0,5082.03847928026,3.5489095525700134,4839.807532003173,3.379753863130707,4761.131250186065,3.324812325548928,4497.3438824692275,3.140603269880746,0,1.0674014666328835,1.0761479794482425,0.0,83.46774193548387,0.16532258064516125,102990.0,39.04262549762113,0.0,150100.0,4.596935376415723,0.8467688207861426,-0.26364691564927223,-0.2896624800316314,0.2583451172453566,0.2788573620823616,,13191222600.0,14677214595.0,104451.55,,0.560142524529323,12,76957.0,24580.0,51838.0,8160.0,-21232.0,1828.0,-30355.0,-1472.0,-50124.0,4672.0,-281.0,-45521.0,0.7367722164008097,0.4962875132058835,-0.203271277448731,-0.2906132077503876,0.01982268333978767,0.6432315446645303,0.5979738795505462,0.4594350976594918,0.4421377541431839,0.4051860331800243,0.539524245326057,0.5649937704068245,0.23532441596127582,0.16,,,-1.1547,0.7035468376930973,0.498966,오리온,0,0.0,0.0124,0.0635,0.0,0.0078,0.0901,0.0523,0.0322,0.0232,0.1055,0.112
12,037460,KOSDAQ,38200.0,2745.1889706587817,7.186358561933984,2501.977129622202,6.549678349796341,2297.7681918887906,6.015099978766467,1944.1932704658393,5.0895111792299454,4,1.1947197199218804,1.2868973304401545,0.0,98.79032258064517,0.012096774193548376,17037.9335,124.20559394717677,0.0,38800.0,1.5463917525773196,0.9484536082474226,0.6311471104322142,1.4004688982360696,0.9258476847424641,0.3327223640844892,,7141793375.0,7784542477.5,227082.4,,0.4269036405568176,12,206666.0,137810.0,-27513.0,-27505.0,5982.0,4800.0,-741.0,-703.0,-24539.0,-78.0,0.0,-44809.0,0.9100925479033162,-0.12115866311083553,0.02634286056515168,-0.003263132677829722,-0.047302697170718645,0.6743824913428988,0.4757872206555045,0.5052683771293627,0.4993473738350573,0.4784010309622225,0.5626429553306277,0.5646555832021668,0.606872219071139,1.36,,,-0.4885,0.6504852005624643,0.4804,삼지전자,0,0.0,0.0009,0.0711,0.0,0.0278,0.0944,0.0416,0.0354,0.0262,0.0976,0.0854
13,355150,KOSDAQ,55500.0,8119.25908082258,14.629295641121765,7055.533051150076,12.71267216423437,5522.4401385641,9.950342592007388,4007.698523797974,7.221078421257611,17,1.47023034693024,1.76049495970165,0.0,98.79032258064517,0.012096774193548376,20494.766499999998,170.80084079025738,0.0,64100.0,13.416536661466457,0.5527821112844514,2.8209053129960364,2.350769172878035,0.9999874229122153,0.24121846366072147,,15604330100.0,21641684797.5,587578.7,,0.5966225644847096,12,327123.0,99669.0,-40000.0,0.0,38990.0,-12663.0,-73419.0,2858.0,-161889.0,-654.0,0.0,-236658.0,0.5567305281828631,-0.06807598709755817,0.06635706842334482,-0.12495177241789059,-0.05985747951721192,0.6095412803182889,0.48638816678023894,0.5132682978964794,0.4750304339730951,0.44511824537495576,0.5191081285553695,0.5393217784976355,0.16962663895066313,1.07,,,-0.6495,0.6636950962023672,0.480007,코스텍시스,0,0.0,0.0009,0.0415,0.0,0.03,0.0853,0.0426,0.0359,0.0249,0.0996,0.1193
14,077360,KOSDAQ,18400.0,1947.4167184452708,10.583786513289516,1748.1335806531442,9.500725981810566,1540.7400508887383,8.37358723309097,1284.1914265470562,6.979301231234,9,1.2639489168350955,1.3612718045887748,0.0,98.79032258064517,0.012096774193548376,8062.65,128.21280844387394,0.0,21100.0,12.796208530805686,0.5734597156398105,0.44427100169159695,0.9324459038724648,0.8553364262282563,0.23192276508116536,,29658744305.0,48116987525.5,2802187.45,,0.7360763799383321,12,318169.0,553891.0,78187.0,69205.0,-104464.0,26283.0,-253570.0,-479549.0,-176188.0,-5785.0,636.0,-461184.0,0.11354308220886507,0.02790213053020418,-0.03727944752589624,-0.09049002057303482,-0.024077340008071192,0.5226930154366063,0.5055801944096956,0.49254466307906775,0.4819098954517026,0.4874276175510001,0.507575198317634,0.5062676717106354,0.19766379297716147,3.15,,,0.5052,0.56894825850927,0.479328,덕산하이메탈,0,0.0,0.0009,0.043,0.0,0.0257,0.0732,0.0442,0.0345,0.0253,0.0853,0.1472
15,230240,KOSDAQ,32800.0,3649.9789307970873,11.12798454511307,3436.3126908304066,10.476563081800021,3160.0396010997015,9.63426707652348,2640.1619607322386,8.049274270525117,5,1.1550421486891764,1.3015537463002302,0.0,98.38709677419355,0.016129032258064502,28151.117,16.514026779115024,0.41078749924365376,39700.0,17.38035264483627,0.4206549118387909,0.8462797603887944,0.5155408812392801,0.9672362178322348,0.24699835773180273,,18546591525.0,22905954570.0,689991.8,,0.6341320535281394,12,24498.0,60878.0,141752.0,19906.0,-4681.0,-3634.0,17741.0,-16521.0,-139278.0,-2936.0,-2374.0,9502.0,0.03550476976682911,0.20544012262174707,-0.006784138594110828,0.025711899764605896,0.054763853715362985,0.507100476584831,0.5409957858526607,0.4986431756116942,0.5051421986466409,0.45971658654474584,0.5109818786013688,0.5135891020164327,0.08823003403808566,2.57,,,0.1832,0.595368049789076,0.469987,에치에프알,0,0.0,0.0012,0.0315,0.0123,0.029,0.071,0.0473,0.0349,0.0265,0.0893,0.1268
16,425040,KOSDAQ,24050.0,2309.583135868609,9.603256282197957,1978.8815749644632,8.228197816900055,1578.703716005064,6.564256615405671,1198.1784023810073,4.982030779131008,6,1.4629617403530586,1.6515750668114622,0.0,98.79032258064517,0.012096774193548376,13514.5835,77.95590962903147,0.0,25750.0,6.601941747572816,0.7799352750809061,1.2922756173975523,1.0631945036033619,0.9943425160517835,0.29744226392379197,,32606703400.0,57534701454.5,3105828.45,,0.7566534465118382,12,-89449.0,33283.0,-20000.0,-1000.0,-13871.0,11.0,0.0,0.0,-7500.0,0.0,0.0,-41370.0,-0.028800367257888954,-0.006439505697747086,-0.004466119176672491,0.0,-0.0036118382520451183,0.494240181348612,0.4987121017087469,0.4991067771148744,0.5,0.4995170372228725,0.5012997308037432,0.4971954533896064,0.010716303406905813,7.68,,,3.0199,0.36260057834113024,0.468972,티이엠씨,0,0.0,0.0009,0.0585,0.0,0.0298,0.0692,0.0436,0.0349,0.0262,0.0544,0.1513
17,007340,KOSPI,48300.0,3662.8270592903195,7.583492876377473,3470.444583604649,7.1851854733015506,3112.391670180443,6.443875093541289,2594.3716848095964,5.371369947845955,5,1.1768528666824136,1.337682107742919,0.0,98.79032258064517,0.012096774193548376,40391.917,19.57838000112745,0.05542594018989877,54200.0,10.885608856088561,0.6371463714637147,0.16877600966612394,0.015263045627276428,0.6626450950505303,0.23411788993835866,,12553219750.0,14021390827.5,316211.15,,0.5493775657099897,12,313671.0,206067.0,16518.0,2119.0,-262905.0,-125615.0,3474.0,-48116.0,109770.0,-490.0,4240.0,-130018.0,0.9919669183075928,0.05223724716854544,-0.8314222948811261,0.010986329862182278,-0.15236733429545413,0.6885981222633909,0.5104459292581977,0.3395864141260798,0.5021972518280774,0.5689854874988677,0.5136168823203712,0.5462976018193333,0.6516753125245583,1.17,,,-0.594,0.6474399597748145,0.468431,DN오토모티브,0,0.0,0.0009,0.0478,0.0017,0.0199,0.0964,0.0447,0.0238,0.0264,0.0971,0.1099
18,456040,KOSPI,138000.0,9073.529674399091,6.575021503187747,8729.873185344866,6.325995061844106,7801.61424966667,5.653343659178747,6424.045023685491,4.655105089627168,3,1.1630323397220985,1.358937110988135,0.0,98.38709677419355,0.016129032258064502,147236.8335,-6.273452967188408,0.0,163200.0,15.441176470588236,0.48529411764705876,0.17636546427434552,0.16808787608123832,0.6693976218019309,0.19229554965647389,,15992541000.0,29117036295.0,223217.25,,0.6019587363948453,12,154843.0,63149.0,79311.0,18570.0,-3720.0,-4779.0,38721.0,9190.0,-9509.0,3517.0,-56.0,108305.0,0.6936874278309584,0.3553085615023032,-0.01666537868377108,0.1734677763479301,0.15172062195014047,0.63528325110209,0.570587086615106,0.4966669736336365,0.534637984091399,0.49148087366185966,0.548083108295753,0.5762891644350496,0.28290376303802683,2.36,,,0.0666,0.5813338362869367,0.466982,OCI,0,0.0,0.0012,0.0364,0.0,0.0201,0.0889,0.0499,0.0348,0.0281,0.0872,0.1204
19,138360,KOSDAQ,3915.0,434.59712065051195,11.100820450843218,407.04248714522095,10.396998394513945,354.74383514932754,9.06114521454221,305.6821970635941,7.807974382211855,11,1.2251012634724734,1.3315871550757659,0.0,98.79032258064517,0.012096774193548376,3365.8965,16.313736919718124,0.431108252939587,4590.0,14.705882352941178,0.5098039215686274,0.17240548199091132,2.226447768120921,0.665882817468186,0.24017428098132126,,8268796572.5,19481277709.25,5504976.75,,0.45872115381176215,12,386823.0,220434.0,0.0,0.0,9982.0,0.0,-362.0,0.0,0.0,0.0,0.0,9620.0,0.07026787170354534,0.0,0.001813268330334002,-6.575867918061598e-05,0.0004401653467473773,0.5140498746799284,0.5,0.5003626536024729,0.49998684826416684,0.5,0.5050051672972116,0.505690507832091,0.04004267592955774,0.02,,,-1.2324,0.7115240286916711,0.447517,앤로보틱스,0,0.0,0.0009,0.0382,0.0129,0.02,0.072,0.0438,0.035,0.0262,0.1067,0.0917
20,160980,KOSDAQ,36650.0,3130.03955691875,8.540353497731923,2847.184674443935,7.76858028497663,2507.195719570121,6.840916015198148,2084.656949650578,5.688013505185752,2,1.2484225034714962,1.36578091417927,0.0,98.79032258064517,0.012096774193548376,18094.9165,102.54307335433133,0.0,41450.0,11.58021712907117,0.6139927623642942,0.9090378137656794,0.4622651894016778,0.9743231009158126,0.2539546942310419,,6052012000.0,8743867322.5,247871.9,,0.39094989023808413,12,86958.0,10459.0,24695.0,7405.0,182763.0,49330.0,10215.0,16729.0,180394.0,-4169.0,0.0,405190.0,0.35081830574583084,0.09962807401726456,0.7373284345664031,0.04121080283807886,0.29904386096205343,0.5697067114713409,0.5199150734073492,0.6433336530130769,0.5082414140935103,0.6415773467602781,0.5422209767885301,0.5627643956570155,0.04219518226955133,3.23,,,0.5496,0.5653041493672278,0.43614,싸이맥스,0,0.0,0.0009,0.046,0.0,0.0292,0.0798,0.0455,0.045,0.0267,0.0848,0.0782
