2026-04-29 11:30:32,200	DROP	078930	GS	volume_drought_gate
2026-04-29 11:30:32,559	DROP	000100	유한양행	trend_gate
2026-04-29 11:30:37,655	DROP	141080	리가켐바이오	trend_gate
2026-04-29 11:30:38,064	DROP	082740	한화엔진	volume_drought_gate
2026-04-29 11:30:38,447	DROP	032640	LG유플러스	trend_gate
2026-04-29 11:30:43,462	DROP	010060	OCI홀딩스	volume_drought_gate
2026-04-29 11:30:43,785	DROP	062040	산일전기	volume_drought_gate
2026-04-29 11:30:44,140	DROP	000990	DB하이텍	volume_drought_gate
2026-04-29 11:30:49,152	DROP	454910	두산로보틱스	trend_gate
2026-04-29 11:30:49,482	DROP	064400	LG씨엔에스	trend_gate
2026-04-29 11:30:49,844	DROP	087010	펩트론	trend_gate
2026-04-29 11:30:54,892	DROP	128940	한미약품	trend_gate
2026-04-29 11:30:55,260	DROP	034220	LG디스플레이	trend_gate
2026-04-29 11:30:55,608	DROP	021240	코웨이	trend_gate
2026-04-29 11:30:55,981	DROP	004020	현대제철	volume_drought_gate
2026-04-29 11:30:56,346	DROP	029780	삼성카드	trend_gate
2026-04-29 11:30:56,708	DROP	036570	NC	volume_drought_gate
2026-04-29 11:30:57,055	DROP	450080	에코프로머티	volume_drought_gate
2026-04-29 11:30:57,434	DROP	240810	원익IPS	trend_gate
2026-04-29 11:30:57,807	DROP	271560	오리온	volume_drought_gate
2026-04-29 11:30:58,228	DROP	138930	BNK금융지주	trend_gate
2026-04-29 11:30:58,597	DROP	036930	주성엔지니어링	volume_drought_gate
2026-04-29 11:30:58,954	DROP	214370	케어젠	trend_gate
2026-04-29 11:30:59,325	DROP	103590	일진전기	volume_drought_gate
2026-04-29 11:30:59,681	DROP	022100	포스코DX	trend_gate
2026-04-29 11:31:00,033	DROP	310210	보로노이	trend_gate
2026-04-29 11:31:00,397	DROP	088980	맥쿼리인프라	trend_gate
2026-04-29 11:31:00,785	DROP	353200	대덕전자	volume_drought_gate
2026-04-29 11:31:01,151	DROP	175330	JB금융지주	trend_gate
2026-04-29 11:31:06,261	DROP	002380	KCC	trend_gate
2026-04-29 11:31:06,602	DROP	108490	로보티즈	volume_drought_gate
2026-04-29 11:31:06,966	DROP	011170	롯데케미칼	volume_drought_gate
2026-04-29 11:31:07,331	DROP	011790	SKC	trend_gate
2026-04-29 11:31:07,711	DROP	403870	HPSP	volume_drought_gate
2026-04-29 11:31:08,075	DROP	018880	한온시스템	trend_gate
2026-04-29 11:31:08,428	DROP	088350	한화생명	trend_gate
2026-04-29 11:31:13,493	DROP	251270	넷마블	trend_gate
2026-04-29 11:31:13,847	DROP	440110	파두	volume_drought_gate
2026-04-29 11:31:18,885	DROP	051900	LG생활건강	trend_gate
2026-04-29 11:31:24,052	DROP	375500	DL이앤씨	volume_drought_gate
2026-04-29 11:31:29,220	DROP	004170	신세계	volume_drought_gate
2026-04-29 11:31:29,613	DROP	226950	올릭스	trend_gate
2026-04-29 11:31:30,006	DROP	214150	클래시스	trend_gate
2026-04-29 11:31:30,356	DROP	457190	이수스페셜티케미컬	volume_drought_gate
2026-04-29 11:31:30,731	DROP	023530	롯데쇼핑	volume_drought_gate
2026-04-29 11:31:35,973	DROP	111770	영원무역	trend_gate
2026-04-29 11:31:36,492	DROP	000500	가온전선	volume_drought_gate
2026-04-29 11:31:37,010	DROP	336260	두산퓨얼셀	volume_drought_gate
2026-04-29 11:31:37,524	DROP	035250	강원랜드	trend_gate
2026-04-29 11:31:37,987	DROP	004800	효성	volume_drought_gate
2026-04-29 11:31:38,486	DROP	012510	더존비즈온	liquidity_gate:KOSPI
2026-04-29 11:31:38,914	DROP	097950	CJ제일제당	trend_gate
2026-04-29 11:31:39,410	DROP	071970	HD현대마린엔진	volume_drought_gate
2026-04-29 11:31:39,833	DROP	011780	금호석유화학	volume_drought_gate
2026-04-29 11:31:40,251	DROP	036460	한국가스공사	trend_gate
2026-04-29 11:31:40,660	DROP	006360	GS건설	volume_drought_gate
2026-04-29 11:31:41,032	DROP	064760	티씨케이	volume_drought_gate
2026-04-29 11:31:41,440	DROP	020150	롯데에너지머티리얼즈	volume_drought_gate
2026-04-29 11:31:41,834	DROP	319400	현대무벡스	52w_ceiling_gate
2026-04-29 11:31:42,250	DROP	439260	대한조선	insufficient_rows:181
2026-04-29 11:31:42,647	DROP	237690	에스티팜	trend_gate
2026-04-29 11:31:43,214	DROP	178320	서진시스템	volume_drought_gate
2026-04-29 11:31:43,576	DROP	302440	SK바이오사이언스	trend_gate
2026-04-29 11:31:43,934	DROP	347850	디앤디파마텍	trend_gate
2026-04-29 11:31:44,311	DROP	214450	파마리서치	trend_gate
2026-04-29 11:31:44,661	DROP	031210	서울보증보험	trend_gate
2026-04-29 11:31:45,064	DROP	014680	한솔케미칼	trend_gate
2026-04-29 11:31:45,452	DROP	001720	신영증권	trend_gate
2026-04-29 11:31:45,827	DROP	145020	휴젤	trend_gate
